 Step                 Time   Function       RMSE       RMSE
=====  ===================  =========  =========  =========
  242  2015-11-18T15:59:15  1.279e-03  3.770e-03  0.000e+00
  243  2015-11-18T15:59:15  1.261e-03  3.743e-03  0.000e+00
  244  2015-11-18T15:59:15  1.231e-03  3.699e-03  0.000e+00
  245  2015-11-18T15:59:15  1.213e-03  3.672e-03  0.000e+00
  246  2015-11-18T15:59:15  1.208e-03  3.664e-03  0.000e+00
  247  2015-11-18T15:59:15  1.173e-03  3.611e-03  0.000e+00
  248  2015-11-18T15:59:15  1.185e-03  3.628e-03  0.000e+00
  249  2015-11-18T15:59:15  1.158e-03  3.587e-03  0.000e+00
  250  2015-11-18T15:59:15  1.132e-03  3.546e-03  0.000e+00
  251  2015-11-18T15:59:15  1.094e-03  3.487e-03  0.000e+00
  252  2015-11-18T15:59:15  1.048e-03  3.412e-03  0.000e+00
  253  2015-11-18T15:59:15  1.051e-03  3.418e-03  0.000e+00
  254  2015-11-18T15:59:15  1.025e-03  3.375e-03  0.000e+00
  255  2015-11-18T15:59:15  9.968e-04  3.328e-03  0.000e+00
  256  2015-11-18T15:59:15  1.039e-03  3.398e-03  0.000e+00
  257  2015-11-18T15:59:16  9.876e-04  3.313e-03  0.000e+00
  258  2015-11-18T15:59:16  9.800e-04  3.300e-03  0.000e+00
  259  2015-11-18T15:59:16  9.715e-04  3.286e-03  0.000e+00
  260  2015-11-18T15:59:16  9.717e-04  3.286e-03  0.000e+00
  261  2015-11-18T15:59:16  9.673e-04  3.278e-03  0.000e+00
  262  2015-11-18T15:59:16  9.609e-04  3.268e-03  0.000e+00
  263  2015-11-18T15:59:16  9.512e-04  3.251e-03  0.000e+00
  264  2015-11-18T15:59:16  9.382e-04  3.229e-03  0.000e+00
  265  2015-11-18T15:59:16  9.175e-04  3.193e-03  0.000e+00
  266  2015-11-18T15:59:16  8.910e-04  3.146e-03  0.000e+00
  267  2015-11-18T15:59:16  8.522e-04  3.077e-03  0.000e+00
  268  2015-11-18T15:59:16  8.715e-04  3.112e-03  0.000e+00
  269  2015-11-18T15:59:16  8.301e-04  3.037e-03  0.000e+00
  270  2015-11-18T15:59:16  7.982e-04  2.978e-03  0.000e+00
  271  2015-11-18T15:59:16  7.832e-04  2.950e-03  0.000e+00
  272  2015-11-18T15:59:16  7.665e-04  2.918e-03  0.000e+00
  273  2015-11-18T15:59:16  7.591e-04  2.904e-03  0.000e+00
  274  2015-11-18T15:59:16  7.505e-04  2.888e-03  0.000e+00
  275  2015-11-18T15:59:16  7.371e-04  2.862e-03  0.000e+00
  276  2015-11-18T15:59:16  7.223e-04  2.833e-03  0.000e+00
  277  2015-11-18T15:59:16  7.143e-04  2.817e-03  0.000e+00
  278  2015-11-18T15:59:16  7.026e-04  2.794e-03  0.000e+00
  279  2015-11-18T15:59:16  6.898e-04  2.769e-03  0.000e+00
  280  2015-11-18T15:59:16  6.764e-04  2.741e-03  0.000e+00
  281  2015-11-18T15:59:16  6.687e-04  2.726e-03  0.000e+00
  282  2015-11-18T15:59:16  6.644e-04  2.717e-03  0.000e+00
  283  2015-11-18T15:59:16  6.586e-04  2.705e-03  0.000e+00
  284  2015-11-18T15:59:16  6.513e-04  2.690e-03  0.000e+00
  285  2015-11-18T15:59:16  6.407e-04  2.668e-03  0.000e+00
  286  2015-11-18T15:59:16  6.340e-04  2.654e-03  0.000e+00
  287  2015-11-18T15:59:16  6.254e-04  2.636e-03  0.000e+00
  288  2015-11-18T15:59:16  6.202e-04  2.625e-03  0.000e+00
  289  2015-11-18T15:59:16  6.147e-04  2.613e-03  0.000e+00
  290  2015-11-18T15:59:16  6.110e-04  2.605e-03  0.000e+00
